Time(ms),Acc_x,Acc_y,Acc_z,Gyro_x,Gyro_y,Gyro_z,CO2
1340,-0.969,-0.106,-0.260,-1.489,1.687,0.939,0
1350,-0.966,-0.105,-0.257,-0.779,0.954,0.344,1091
1360,-0.969,-0.104,-0.248,0.794,-0.023,0.511,0
1370,-0.968,-0.105,-0.255,1.427,0.069,0.267,0
1380,-0.969,-0.109,-0.250,2.115,-0.580,0.427,0
1390,-0.962,-0.104,-0.253,2.748,-1.031,0.336,0
1400,-0.966,-0.097,-0.249,3.504,-1.573,0.176,1138
1410,-0.960,-0.099,-0.257,4.046,-2.427,0.542,0
1420,-0.967,-0.105,-0.256,4.389,-2.679,0.847,0
1430,-0.970,-0.104,-0.243,4.573,-3.382,0.916,0
1440,-0.976,-0.116,-0.256,5.008,-4.183,1.038,0
1450,-0.977,-0.115,-0.256,6.107,-4.634,0.611,1165
1460,-0.980,-0.114,-0.271,6.496,-5.260,0.466,0
1470,-0.979,-0.108,-0.268,6.092,-5.481,0.137,0
1480,-0.974,-0.108,-0.280,5.626,-4.893,0.397,0
1490,-0.978,-0.103,-0.281,4.771,-3.969,0.947,0
1500,-0.978,-0.106,-0.277,3.718,-3.061,0.771,1175
1510,-0.971,-0.112,-0.252,3.573,-1.015,0.618,0
1520,-0.972,-0.104,-0.252,3.328,-0.366,0.466,0
1530,-0.962,-0.107,-0.240,3.221,0.107,0.740,0
1540,-0.962,-0.109,-0.237,3.107,0.000,0.702,0
1550,-0.961,-0.108,-0.233,2.939,-0.344,0.916,1194
1560,-0.965,-0.108,-0.238,3.008,-0.130,1.099,0
1570,-0.964,-0.107,-0.242,3.145,-0.275,1.130,0
1580,-0.975,-0.106,-0.237,3.458,-0.611,0.824,0
1590,-0.977,-0.101,-0.244,3.382,-1.252,1.031,0
1600,-0.978,-0.103,-0.240,3.198,-1.550,1.313,1203
1610,-0.984,-0.102,-0.243,2.634,-2.122,1.298,0
1620,-0.981,-0.104,-0.235,2.382,-2.008,1.336,0
1630,-0.984,-0.109,-0.236,2.290,-2.412,1.359,0
1640,-0.985,-0.103,-0.239,2.511,-2.931,1.427,0
1650,-0.979,-0.106,-0.237,2.641,-3.023,1.603,1081
1660,-0.975,-0.103,-0.231,1.603,-2.588,1.130,0
1670,-0.976,-0.107,-0.233,1.107,-2.618,1.611,0
1680,-0.974,-0.110,-0.236,0.687,-2.519,1.626,0
1690,-0.970,-0.104,-0.246,1.389,-1.863,1.511,0
1700,-0.975,-0.110,-0.239,1.229,-1.557,1.634,890
1710,-0.982,-0.101,-0.235,1.374,-1.145,1.351,0
1720,-0.979,-0.105,-0.229,0.908,-0.733,0.756,0
1730,-0.978,-0.104,-0.229,0.824,-0.527,0.756,0
1740,-0.977,-0.103,-0.224,0.351,-0.550,0.885,0
1750,-0.977,-0.104,-0.237,0.305,-0.641,0.878,836
1760,-0.979,-0.114,-0.246,-0.489,-1.237,1.023,0
1770,-0.975,-0.112,-0.249,-0.260,-1.412,0.809,0
1780,-0.980,-0.112,-0.242,-0.634,-1.366,0.679,0
